family,group,exp,model,method,variant,train_len,eval_len,step,benchmark,pass@1,pass@4,pass@8,pass@32
1.5B +KL,r1-1.5b-16k-kl,prob-kl,r1-1.5b,prob_disparity,kl,16384,16384,20,livecodebench_v5,0.15367383512544802,0.23768561187916026,0.2724014336917563,
1.5B +KL,r1-1.5b-16k-kl,prob-kl,r1-1.5b,prob_disparity,kl,16384,16384,20,livecodebench_v6,0.13785714285714284,0.19444897959183677,0.22857142857142856,
1.5B +KL,r1-1.5b-16k-kl,prob-kl,r1-1.5b,prob_disparity,kl,16384,16384,20,aime2024,0.278125,,,0.7666666666666667
1.5B +KL,r1-1.5b-16k-kl,prob-kl,r1-1.5b,prob_disparity,kl,16384,16384,20,aime2025,0.23125,,,0.5
1.5B +KL,r1-1.5b-16k-kl,prob-kl,r1-1.5b,prob_disparity,kl,16384,16384,50,livecodebench_v5,0.15232974910394265,0.22206861239119302,0.24731182795698925,
1.5B +KL,r1-1.5b-16k-kl,prob-kl,r1-1.5b,prob_disparity,kl,16384,16384,50,livecodebench_v6,0.135,0.19240816326530613,0.21714285714285714,
1.5B +KL,r1-1.5b-16k-kl,prob-kl,r1-1.5b,prob_disparity,kl,16384,16384,50,aime2024,0.2552083333333333,,,0.6666666666666666
1.5B +KL,r1-1.5b-16k-kl,prob-kl,r1-1.5b,prob_disparity,kl,16384,16384,50,aime2025,0.23645833333333333,,,0.5
1.5B +KL,r1-1.5b-16k-kl,prob-kl,r1-1.5b,prob_disparity,kl,16384,16384,80,livecodebench_v5,0.13844086021505375,0.21177675371223756,0.24731182795698925,
1.5B +KL,r1-1.5b-16k-kl,prob-kl,r1-1.5b,prob_disparity,kl,16384,16384,80,livecodebench_v6,0.125,0.18179591836734696,0.2057142857142857,
1.5B +KL,r1-1.5b-16k-kl,prob-kl,r1-1.5b,prob_disparity,kl,16384,16384,80,aime2024,0.21979166666666666,,,0.6333333333333333
1.5B +KL,r1-1.5b-16k-kl,prob-kl,r1-1.5b,prob_disparity,kl,16384,16384,80,aime2025,0.20729166666666668,,,0.4666666666666667
1.5B +KL,r1-1.5b-16k-kl,prob-kl,r1-1.5b,prob_disparity,kl,16384,16384,105,livecodebench_v5,0.13082437275985664,0.21254480286738353,0.24731182795698925,
1.5B +KL,r1-1.5b-16k-kl,prob-kl,r1-1.5b,prob_disparity,kl,16384,16384,105,livecodebench_v6,0.12571428571428572,0.17126530612244897,0.19428571428571428,
1.5B +KL,r1-1.5b-16k-kl,prob-kl,r1-1.5b,prob_disparity,kl,16384,16384,105,aime2024,0.203125,,,0.6333333333333333
1.5B +KL,r1-1.5b-16k-kl,prob-kl,r1-1.5b,prob_disparity,kl,16384,16384,105,aime2025,0.17708333333333334,,,0.4666666666666667
1.5B +LP,r1-1.5b-16k-lp,in-lp,r1-1.5b,intuitor,lenpen,16384,16384,20,livecodebench_v5,0.16801075268817203,0.258678955453149,0.3010752688172043,
1.5B +LP,r1-1.5b-16k-lp,in-lp,r1-1.5b,intuitor,lenpen,16384,16384,20,livecodebench_v6,0.1457142857142857,0.20065306122448978,0.22285714285714286,
1.5B +LP,r1-1.5b-16k-lp,in-lp,r1-1.5b,intuitor,lenpen,16384,16384,20,aime2024,0.2916666666666667,,,0.7333333333333333
1.5B +LP,r1-1.5b-16k-lp,in-lp,r1-1.5b,intuitor,lenpen,16384,16384,20,aime2025,0.22083333333333333,,,0.5
1.5B +LP,r1-1.5b-16k-lp,in-lp,r1-1.5b,intuitor,lenpen,16384,16384,50,livecodebench_v5,0.15232974910394265,0.23358934971838194,0.27598566308243727,
1.5B +LP,r1-1.5b-16k-lp,in-lp,r1-1.5b,intuitor,lenpen,16384,16384,50,livecodebench_v6,0.12071428571428572,0.17077551020408163,0.19428571428571428,
1.5B +LP,r1-1.5b-16k-lp,in-lp,r1-1.5b,intuitor,lenpen,16384,16384,50,aime2024,0.2791666666666667,,,0.7333333333333333
1.5B +LP,r1-1.5b-16k-lp,in-lp,r1-1.5b,intuitor,lenpen,16384,16384,50,aime2025,0.23645833333333333,,,0.4666666666666667
1.5B +LP,r1-1.5b-16k-lp,in-lp,r1-1.5b,intuitor,lenpen,16384,16384,80,livecodebench_v5,0.14023297491039427,0.23748079877112133,0.27956989247311825,
1.5B +LP,r1-1.5b-16k-lp,in-lp,r1-1.5b,intuitor,lenpen,16384,16384,80,livecodebench_v6,0.11285714285714285,0.16587755102040816,0.17714285714285713,
1.5B +LP,r1-1.5b-16k-lp,in-lp,r1-1.5b,intuitor,lenpen,16384,16384,80,aime2024,0.27395833333333336,,,0.7666666666666667
1.5B +LP,r1-1.5b-16k-lp,in-lp,r1-1.5b,intuitor,lenpen,16384,16384,80,aime2025,0.24583333333333332,,,0.5666666666666667
1.5B +LP,r1-1.5b-16k-lp,in-lp,r1-1.5b,intuitor,lenpen,16384,16384,105,livecodebench_v5,0.10125448028673835,0.1999487967229903,0.24372759856630824,
1.5B +LP,r1-1.5b-16k-lp,in-lp,r1-1.5b,intuitor,lenpen,16384,16384,105,livecodebench_v6,0.09428571428571429,0.16179591836734694,0.18857142857142858,
1.5B +LP,r1-1.5b-16k-lp,in-lp,r1-1.5b,intuitor,lenpen,16384,16384,105,aime2024,0.28125,,,0.7
1.5B +LP,r1-1.5b-16k-lp,in-lp,r1-1.5b,intuitor,lenpen,16384,16384,105,aime2025,0.2375,,,0.5333333333333333
1.5B +LP,r1-1.5b-16k-lp,tok-lp,r1-1.5b,token_entropy,lenpen,16384,16384,20,livecodebench_v5,0.15681003584229392,0.24162826420890937,0.27956989247311825,
1.5B +LP,r1-1.5b-16k-lp,tok-lp,r1-1.5b,token_entropy,lenpen,16384,16384,20,livecodebench_v6,0.13,0.18636734693877552,0.22285714285714286,
